hn_id,timepoint,component,stage,filename,url,selected_for_frozen_pair_set
HN01,post,barcodes,metadata,GSE288199_HN01_post_T_barcodes.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN01_post_T_barcodes.tsv.gz,True
HN01,post,features,metadata,GSE288199_HN01_post_T_features.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN01_post_T_features.tsv.gz,True
HN01,post,matrix,matrix,GSE288199_HN01_post_T_matrix.mtx.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN01_post_T_matrix.mtx.gz,True
HN01,pre,barcodes,metadata,GSE288199_HN01_pre_T_barcodes.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN01_pre_T_barcodes.tsv.gz,True
HN01,pre,features,metadata,GSE288199_HN01_pre_T_features.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN01_pre_T_features.tsv.gz,True
HN01,pre,matrix,matrix,GSE288199_HN01_pre_T_matrix.mtx.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN01_pre_T_matrix.mtx.gz,True
HN02,post,barcodes,metadata,GSE288199_HN02_post_T_barcodes.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN02_post_T_barcodes.tsv.gz,True
HN02,post,features,metadata,GSE288199_HN02_post_T_features.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN02_post_T_features.tsv.gz,True
HN02,post,matrix,matrix,GSE288199_HN02_post_T_matrix.mtx.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN02_post_T_matrix.mtx.gz,True
HN02,pre,barcodes,metadata,GSE288199_HN02_pre_T_barcodes.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN02_pre_T_barcodes.tsv.gz,True
HN02,pre,features,metadata,GSE288199_HN02_pre_T_features.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN02_pre_T_features.tsv.gz,True
HN02,pre,matrix,matrix,GSE288199_HN02_pre_T_matrix.mtx.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN02_pre_T_matrix.mtx.gz,True
HN03,post,barcodes,metadata,GSE288199_HN03_post_T_barcodes.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN03_post_T_barcodes.tsv.gz,True
HN03,post,features,metadata,GSE288199_HN03_post_T_features.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN03_post_T_features.tsv.gz,True
HN03,post,matrix,matrix,GSE288199_HN03_post_T_matrix.mtx.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN03_post_T_matrix.mtx.gz,True
HN03,pre,barcodes,metadata,GSE288199_HN03_pre_T_barcodes.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN03_pre_T_barcodes.tsv.gz,True
HN03,pre,features,metadata,GSE288199_HN03_pre_T_features.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN03_pre_T_features.tsv.gz,True
HN03,pre,matrix,matrix,GSE288199_HN03_pre_T_matrix.mtx.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN03_pre_T_matrix.mtx.gz,True
HN04,post,barcodes,metadata,GSE288199_HN04_post_T_barcodes.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN04_post_T_barcodes.tsv.gz,True
HN04,post,features,metadata,GSE288199_HN04_post_T_features.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN04_post_T_features.tsv.gz,True
HN04,post,matrix,matrix,GSE288199_HN04_post_T_matrix.mtx.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN04_post_T_matrix.mtx.gz,True
HN04,pre,barcodes,metadata,GSE288199_HN04_pre_T_barcodes.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN04_pre_T_barcodes.tsv.gz,True
HN04,pre,features,metadata,GSE288199_HN04_pre_T_features.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN04_pre_T_features.tsv.gz,True
HN04,pre,matrix,matrix,GSE288199_HN04_pre_T_matrix.mtx.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN04_pre_T_matrix.mtx.gz,True
HN05,post,barcodes,metadata,GSE288199_HN05_post_T_barcodes.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN05_post_T_barcodes.tsv.gz,True
HN05,post,features,metadata,GSE288199_HN05_post_T_features.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN05_post_T_features.tsv.gz,True
HN05,post,matrix,matrix,GSE288199_HN05_post_T_matrix.mtx.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN05_post_T_matrix.mtx.gz,True
HN05,pre,barcodes,metadata,GSE288199_HN05_pre_T_barcodes.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN05_pre_T_barcodes.tsv.gz,True
HN05,pre,features,metadata,GSE288199_HN05_pre_T_features.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN05_pre_T_features.tsv.gz,True
HN05,pre,matrix,matrix,GSE288199_HN05_pre_T_matrix.mtx.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN05_pre_T_matrix.mtx.gz,True
HN09,post,barcodes,metadata,GSE288199_HN09_post_T_barcodes.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN09_post_T_barcodes.tsv.gz,True
HN09,post,features,metadata,GSE288199_HN09_post_T_features.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN09_post_T_features.tsv.gz,True
HN09,post,matrix,matrix,GSE288199_HN09_post_T_matrix.mtx.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN09_post_T_matrix.mtx.gz,True
HN09,pre,barcodes,metadata,GSE288199_HN09_pre_T_barcodes.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN09_pre_T_barcodes.tsv.gz,True
HN09,pre,features,metadata,GSE288199_HN09_pre_T_features.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN09_pre_T_features.tsv.gz,True
HN09,pre,matrix,matrix,GSE288199_HN09_pre_T_matrix.mtx.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN09_pre_T_matrix.mtx.gz,True
HN10,post,barcodes,metadata,GSE288199_HN10_post_T_barcodes.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN10_post_T_barcodes.tsv.gz,True
HN10,post,features,metadata,GSE288199_HN10_post_T_features.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN10_post_T_features.tsv.gz,True
HN10,post,matrix,matrix,GSE288199_HN10_post_T_matrix.mtx.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN10_post_T_matrix.mtx.gz,True
